Player,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Marko Livaja,FW,Croatia,28,1993,2.7,3,1.19,3,0,0,0,0,0,1,0.40,1,0,0,0,0,0
Dominik Livaković,GK,Croatia,27,1995,7.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcos Llorente,DF,Spain,27,1995,1.3,3,3.00,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Hugo Lloris,GK,France,35,1986,6.3,1,0.17,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Dejan Lovren,DF,Croatia,32,1989,6.7,2,0.33,2,0,0,0,0,0,1,0.17,1,0,0,0,0,0
Hirving Lozano,FW,Mexico,26,1995,2.8,20,7.14,13,2,1,0,4,0,0,0.00,0,0,0,0,0,0
Romelu Lukaku,FW,Belgium,29,1993,0.6,1,1.64,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Saša Lukić,MF,Serbia,25,1996,2.7,2,0.73,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Maâloul,DF,Tunisia,32,1990,1.0,2,2.00,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Awer Mabil,MF,Australia,26,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alexis Mac Allister,MF,Argentina,23,1998,6.1,16,2.77,16,0,0,0,0,0,2,0.35,2,0,0,0,0,0
Jamie Maclaren,FW,Australia,28,1993,0.6,1,1.64,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Assim Madibo,MF,Qatar,25,1996,1.7,2,1.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdullah Madu,"DF,MF",Saudi Arabia,28,1993,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Daizen Maeda,FW,Japan,24,1997,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Harry Maguire,DF,England,29,1993,4.8,6,1.26,3,0,1,0,1,1,1,0.21,1,0,0,0,0,0
Lovro Majer,"MF,FW",Croatia,24,1998,1.4,5,4.79,4,1,0,0,0,0,1,0.96,0,1,0,0,0,0
Nemanja Maksimović,MF,Serbia,27,1995,1.4,4,2.95,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Abdulellah Al-Malki,MF,Saudi Arabia,27,1994,1.9,2,1.03,2,0,0,0,0,0,1,0.52,1,0,0,0,0,0
Steve Mandanda,GK,France,37,1985,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
José María Giménez,DF,Uruguay,27,1995,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
João Mário,"FW,MF",Portugal,29,1993,0.9,2,2.14,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marquinhos,DF,Brazil,28,1994,4.7,9,2.04,8,0,0,1,0,0,1,0.23,1,0,0,0,0,0
Henry Martín,FW,Mexico,29,1992,1.6,6,3.70,5,0,0,0,1,0,1,0.62,0,0,0,0,1,0
