Player,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Paulo Dybala,FW,Argentina,28,1993,0.2,3,1,0,2,1,0,0,,0,0,0,0,0,3,1,0
Enzo Ebosse,DF,Cameroon,23,1999,1.0,4,2,4,0,0,1,1,100.0,0,1,0,1,0,4,5,0
Ederson,GK,Brazil,28,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jorge Eduardo Sánchez,DF,Mexico,24,1997,1.9,1,0,1,0,0,1,1,100.0,0,2,0,2,3,4,8,0
Nico Elvedi,DF,Switzerland,25,1996,2.0,2,0,1,0,1,1,3,33.3,2,5,3,2,1,3,13,0
Breel Embolo,FW,Switzerland,25,1997,3.6,1,0,0,0,1,1,2,50.0,1,2,0,2,0,1,1,0
Youssef En-Nesyri,FW,Morocco,25,1997,6.0,3,2,2,1,0,0,2,0.0,2,5,0,5,1,4,11,0
Wataru Endo,MF,Japan,29,1993,3.4,8,4,4,4,0,3,5,60.0,2,8,3,5,3,11,6,0
Devis Epassy,GK,Cameroon,29,1993,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Christian Eriksen,MF,Denmark,30,1992,3.0,1,0,0,1,0,0,0,,0,5,2,3,0,1,1,0
Michael Estrada,FW,Ecuador,26,1996,2.5,1,0,0,1,0,0,1,0.0,1,4,1,3,0,1,0,0
Pervis Estupiñán,DF,Ecuador,24,1998,3.0,6,3,4,2,0,2,6,33.3,4,4,1,3,3,9,6,0
Stephen Eustáquio,MF,Canada,25,1996,1.4,4,2,2,2,0,1,3,33.3,2,0,0,0,2,6,6,0
Saeid Ezatolahi,MF,IR Iran,25,1996,2.4,6,1,1,3,2,2,8,25.0,6,3,0,3,2,8,4,0
Abde Ezzalzouli,"FW,MF",Morocco,20,2001,1.0,3,2,2,1,0,1,1,100.0,0,4,1,3,0,3,3,0
Fabinho,MF,Brazil,28,1993,1.0,3,2,1,2,0,2,2,100.0,0,0,0,0,1,4,2,0
Collins Fai,DF,Cameroon,29,1992,3.0,5,2,2,2,1,3,6,50.0,3,2,0,2,4,9,7,0
Salman Al-Faraj,MF,Saudi Arabia,32,1989,0.5,1,0,0,1,0,0,1,0.0,1,2,0,2,0,1,0,0
Christian Fassnacht,FW,Switzerland,28,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Abdul Fatawu Issahaku,FW,Ghana,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ansu Fati,FW,Spain,19,2002,0.5,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
João Félix,FW,Portugal,22,1999,3.7,4,2,2,2,0,0,3,0.0,3,0,0,0,1,5,1,0
Bruno Fernandes,"FW,MF",Portugal,27,1994,4.0,4,3,3,1,0,0,3,0.0,3,7,1,6,2,6,4,0
Edimilson Fernandes,"FW,DF",Switzerland,26,1996,1.6,2,1,1,0,1,0,1,0.0,1,3,0,3,2,4,3,0
Enzo Fernández,MF,Argentina,21,2001,6.3,22,15,15,5,2,13,23,56.5,10,7,1,6,3,25,7,0
Jesús Ferreira,FW,United States,21,2000,0.5,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Phil Foden,"FW,MF",England,22,2000,2.9,1,1,0,0,1,0,1,0.0,1,2,0,2,1,2,0,0
Youssouf Fofana,MF,France,23,1999,2.5,8,5,3,4,1,1,4,25.0,3,6,1,5,3,11,0,0
Juan Foyth,DF,Argentina,24,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alan Franco,MF,Ecuador,23,1998,0.5,1,0,0,1,0,0,1,0.0,1,0,0,0,2,3,1,0
Przemysław Frankowski,MF,Poland,27,1995,2.7,7,4,4,1,2,2,6,33.3,4,1,1,0,3,10,5,0
Fred,MF,Brazil,29,1993,1.6,3,3,1,1,1,1,2,50.0,1,1,1,0,0,3,3,0
Fabian Frei,MF,Switzerland,33,1989,0.3,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0
