Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Arne Engels,BEL,"MT,AT",Augsburg,21-037,2003,1,1,79,0.9,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,1,1,5,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.45,0.45,0.45
Patrick Erras,GER,DF,Holstein Kiel,29-268,1995,4,4,315,3.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,3,0,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
Samuel Essende,COD,AT,Augsburg,26-266,1998,4,4,326,3.6,2,0,2,2,0,0,2,1,1.5,1.5,0.8,2.3,8,3,26,0.55,0.00,0.55,0.55,0.55,0.42,0.21,0.62,0.42,0.62
Kilian Fischer,GER,DF,Wolfsburg,24-003,2000,6,5,465,5.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,15,6,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Jonas Föhrenbach,GER,"DF,AT",Heidenheim,28-263,1996,6,6,540,6.0,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,15,20,12,0.00,0.17,0.17,0.00,0.17,0.02,0.09,0.11,0.02,0.11
Marco Friedl,AUT,DF,Werder Bremen,26-213,1998,4,4,329,3.7,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marvin Friedrich,GER,DF,Gladbach,28-307,1995,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jeremie Frimpong,NED,DF,Leverkusen,23-310,2000,6,4,411,4.6,1,1,2,1,0,0,3,0,0.5,0.5,0.3,0.8,12,8,44,0.22,0.22,0.44,0.22,0.44,0.11,0.06,0.17,0.11,0.17
Chris Führich,GER,"AT,MT",Stuttgart,26-280,1998,6,2,213,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,11,13,24,0.00,0.00,0.00,0.00,0.00,0.14,0.03,0.17,0.14,0.17
Aleix García,ESP,MT,Leverkusen,27-109,1997,5,2,209,2.3,0,1,1,0,0,0,0,0,0.0,0.0,1.6,1.7,3,24,5,0.00,0.43,0.43,0.00,0.43,0.01,0.71,0.72,0.01,0.72
Lutsharel Geertruida,NED,DF,RB Leipzig,24-089,2000,4,3,289,3.2,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.7,7,23,11,0.00,0.00,0.00,0.00,0.00,0.19,0.01,0.20,0.19,0.20
Dennis Geiger,GER,MT,Hoffenheim,26-127,1998,3,2,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,5,5,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Valentin Gendrey,FRA,"DF,AT",Hoffenheim,24-116,2000,4,1,210,2.3,1,0,1,1,0,0,0,0,0.3,0.3,0.4,0.7,2,5,13,0.43,0.00,0.43,0.43,0.43,0.14,0.17,0.31,0.14,0.31
Yannick Gerhardt,GER,"DF,AT",Wolfsburg,30-216,1994,4,0,53,0.6,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,2,1,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Max Geschwill,GER,DF,Holstein Kiel,23-100,2001,5,3,347,3.9,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,1,13,3,0.26,0.00,0.26,0.26,0.26,0.11,0.05,0.15,0.11,0.15
Dimitris Giannoulis,GRE,DF,Augsburg,28-364,1995,6,6,521,5.8,0,1,1,0,0,0,1,0,0.5,0.5,0.8,1.3,8,23,36,0.00,0.17,0.17,0.00,0.17,0.09,0.13,0.22,0.09,0.22
