Player,Nation,Pos,Squad,Born,Seasons
Jhow,BRA,DF,América (MG),2003,{'2023': ['Brasil2023SerieA']}
Joaquim,BRA,DF,Santos,1998,{'2023': ['Brasil2023SerieA']}
John,BRA,GK,Internacional,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Felipe Jonatan,BRA,DF,Santos,1998,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Jori,BRA,GK,América (MG),1996,{'2023': ['Brasil2023SerieA']}
Josué,BRA,MF,Grêmio,2005,{'2023': ['Brasil2023SerieA']}
Jhonatan Jowjow,BRA,"MF,FW",Palmeiras,2002,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Daniel Jr,BRA,MF,Cruzeiro,2002,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Luciano Juba,BRA,"DF,MF",Bahia,1999,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Juninho,BRA,MF,América (MG),1987,{'2023': ['Brasil2023SerieA']}
Pedrinho Junqueira,BRA,"FW,MF",Goiás,2004,{'2023': ['Brasil2023SerieA']}
Jussa,BRA,MF,Cruzeiro,1996,{'2023': ['Brasil2023SerieA']}
Justen,BRA,DF,Fluminense,2003,{'2023': ['Brasil2023SerieA']}
Kaiki,BRA,"DF,FW",Cruzeiro,2003,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Kaio,BRA,"MF,FW",Coritiba,2004,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Lucas Kal,BRA,MF,América (MG),1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Walter Kannemann,ARG,DF,Grêmio,1991,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Kanu,BRA,DF,Bahia,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Alan Kardec,BRA,"FW,MF",Atlético Mineiro,1989,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Kauan,BRA,FW,Fortaleza,2005,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Vinicius Kaue,BRA,"DF,MF",Ath Paranaense,2003,{'2023': ['Brasil2023SerieA']}
Kayque,BRA,MF,Botafogo (RJ),2000,{'2023': ['Brasil2023SerieA']}
Renato Kayser,BRA,"FW,MF",América (MG),1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Keiller,BRA,GK,Internacional,1996,{'2023': ['Brasil2023SerieA']}
John Kennedy,BRA,"FW,MF",Fluminense,2002,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Keno,BRA,"FW,MF",Fluminense,1989,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Kevin,BRA,"FW,DF",Palmeiras,2003,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Kevyson,BRA,DF,Santos,2004,{'2023': ['Brasil2023SerieA']}
Khellven,BRA,DF,Ath Paranaense,2001,{'2023': ['Brasil2023SerieA']}
Maurício Kozlinski,BRA,GK,Fortaleza,1991,{'2023': ['Brasil2023SerieA']}
Benjamín Kuscevic,CHI,DF,Coritiba,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Derik Lacerda,BRA,"FW,MF",Cuiabá,1999,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Ignacio Laquintana,URU,FW,Red Bull Bragantino,1999,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Thauan Lara,BRA,"DF,MF",Internacional,2004,{'2023': ['Brasil2023SerieA']}
Lelê,BRA,"FW,MF",Fluminense,1997,{'2023': ['Brasil2023SerieA']}
Mauricio Lemos,URU,DF,Atlético Mineiro,1995,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Marcos Leonardo,BRA,FW,Santos,2003,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Primeira Liga', 'Europa League'], '2024-2025': ['Primeira Liga']}"
Lian,BRA,MF,Grêmio,2005,{'2023': ['Brasil2023SerieA']}
Lima,BRA,"MF,FW",Fluminense,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Lucas Lima,BRA,"MF,FW",Santos,1990,{'2023': ['Brasil2023SerieA']}
Leonardo Linck,BRA,GK,Ath Paranaense,2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Liziero,BRA,MF,Coritiba,1998,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Marcelo Lomba,BRA,GK,Palmeiras,1986,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
José López,ARG,"FW,MF",Palmeiras,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Lucão,BRA,DF,Red Bull Bragantino,1998,{'2023': ['Brasil2023SerieA']}
Lucão,BRA,GK,Red Bull Bragantino,2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Lucas,BRA,DF,Santos,2001,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['La Liga']}"
Ayrton Lucas,BRA,DF,Flamengo,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Jhonny Lucas,BRA,MF,Goiás,2000,{'2023': ['Brasil2023SerieA']}
João Lucas,BRA,DF,Santos,1998,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Ruan Lucas,BRA,"MF,FW",Coritiba,2004,{'2023': ['Brasil2023SerieA']}
Ian Luccas,BRA,MF,Cruzeiro,2003,{'2023': ['Brasil2023SerieA']}
Pedro Luccas,BRA,GK,Coritiba,2004,{'2023': ['Brasil2023SerieA']}
Luciano,BRA,"MF,FW",São Paulo,1993,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Thomas Luciano,BRA,DF,Grêmio,2002,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Primeira Liga']}"
Luis,BRA,FW,Cruzeiro,2005,{'2023': ['Brasil2023SerieA']}
Filipe Luís,BRA,DF,Flamengo,1985,{'2023': ['Brasil2023SerieA']}
Victor Luis,BRA,DF,Coritiba,1993,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
David Luiz,BRA,DF,Flamengo,1987,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Wallisson Luiz,BRA,MF,Cruzeiro,1997,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Primeira Liga']}"
Machado,BRA,MF,Cruzeiro,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Imanol Machuca,ARG,FW,Fortaleza,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Mádson,BRA,"DF,MF",Ath Paranaense,1992,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
João Magno,BRA,FW,Goiás,1997,{'2023': ['Brasil2023SerieA']}
Maguinho,BRA,DF,Goiás,1993,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Pablo Maia,BRA,MF,São Paulo,2002,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Thiago Maia,BRA,MF,Flamengo,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Maicon,BRA,DF,Santos,1988,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Iago Maidana,BRA,DF,América (MG),1996,{'2023': ['Brasil2023SerieA']}
Léo Mana,BRA,DF,Corinthians,2004,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Alef Manga,BRA,"FW,MF",Coritiba,1994,{'2023': ['Brasil2023SerieA']}
Manoel,BRA,DF,Fluminense,1990,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Fernando Marçal,BRA,DF,Botafogo (RJ),1989,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Marcelo,BRA,DF,Fortaleza,1996,{'2023': ['Brasil2023SerieA']}
João Marcelo,BRA,DF,Cruzeiro,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Marcinho,BRA,DF,América (MG),1996,{'2023': ['Brasil2023SerieA']}
Erick Marcus,BRA,"MF,FW",Vasco da Gama,2004,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024'], '2024-2025': ['Europa League']}"
Mariano,BRA,DF,Atlético Mineiro,1986,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Marinho,BRA,"FW,DF",Flamengo,1990,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Marlon,BRA,DF,Cruzeiro,1997,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Primeira Liga'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Marlon,BRA,DF,América (MG),1994,{'2023': ['Brasil2023SerieA']}
Igor Marques,BRA,DF,Cruzeiro,1999,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Primeira Liga']}"
Renato Marques,BRA,"FW,MF",América (MG),2003,{'2023': ['Brasil2023SerieA']}
Juan Martín Lucero,ARG,FW,Fortaleza,1991,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Martinelli,BRA,"MF,DF",Fluminense,2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Andre Martins,BRA,"FW,MF",Grêmio,2001,{'2023': ['Brasil2023SerieA']}
Gustavo Martins Santos,BRA,"DF,MF",Grêmio,2002,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Gonzalo Mastriani,URU,FW,América (MG),1993,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Matheusinho,BRA,"MF,FW",América (MG),1998,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Matheuzinho,BRA,DF,Flamengo,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Mauricio,BRA,"FW,MF",Internacional,2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Maycon,BRA,MF,Corinthians,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Mayke,BRA,"DF,FW",Palmeiras,1992,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Bruno Melo,BRA,DF,Goiás,1992,{'2023': ['Brasil2023SerieA']}
Felipe Melo,BRA,DF,Fluminense,1983,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Darlan Mendes,BRA,MF,Grêmio,1998,{'2023': ['Brasil2023SerieA']}
Matheus Mendes,BRA,GK,Atlético Mineiro,1999,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Nathan Mendes,BRA,DF,São Paulo,2002,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Vitor Mendes,BRA,DF,Fluminense,1999,{'2023': ['Brasil2023SerieA']}
Bruno Méndez,URU,DF,Corinthians,1999,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['La Liga']}"
Jhegson Méndez,ECU,MF,São Paulo,1997,"{'2023': ['Brasil2023SerieA'], 'WC 2022': ['WC 2022']}"
Óscar Méndez,URU,MF,América (MG),1994,{'2023': ['Brasil2023SerieA']}
Stiven Mendoza,COL,"FW,MF",Santos,1992,{'2023': ['Brasil2023SerieA']}
Gabriel Menino,BRA,MF,Palmeiras,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Gabriel Mercado,ARG,DF,Internacional,1987,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Higor Meritão,BRA,MF,Goiás,1994,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Messias,BRA,DF,Santos,1994,{'2023': ['Brasil2023SerieA']}
Bruno Mezenga,BRA,"FW,MF",Santos,1988,{'2023': ['Brasil2023SerieA']}
Carlos Miguel,BRA,GK,Corinthians,1998,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Fernando Miguel,BRA,GK,Fortaleza,1985,{'2023': ['Brasil2023SerieA']}
Mikael,BRA,FW,América (MG),1999,{'2023': ['Brasil2023SerieA']}
Lucas Milla,BRA,MF,Grêmio,2003,{'2023': ['Brasil2023SerieA']}
Mina,BRA,DF,Goiás,2003,{'2023': ['Brasil2023SerieA']}
Lucas Mineiro,BRA,MF,Cuiabá,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Vinicius Mingotti,BRA,FW,Bahia,2000,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Primeira Liga']}"
Miranda,BRA,DF,Vasco da Gama,2000,{'2023': ['Brasil2023SerieA']}
Moises,BRA,"MF,FW",Fortaleza,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Rodrigo Moledo,BRA,DF,Internacional,1987,{'2023': ['Brasil2023SerieA']}
Rafael Monteiro,BRA,MF,Fluminense,2004,{'2023': ['Brasil2023SerieA']}
Júnior Moraes,UKR,DF,Corinthians,1987,{'2023': ['Brasil2023SerieA']}
João Moreira,POR,DF,São Paulo,2004,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Everton Morelli,BRA,MF,Goiás,1997,{'2023': ['Brasil2023SerieA']}
Marcelino Moreno,ARG,MF,Coritiba,1994,{'2023': ['Brasil2023SerieA']}
Gabriel Moscardo,BRA,MF,Corinthians,2005,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Henry Mosquera,COL,"FW,MF",Red Bull Bragantino,2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Gustavo Mosquito,BRA,"FW,MF",Corinthians,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Hugo Moura,BRA,MF,Ath Paranaense,1998,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Neto Moura,BRA,MF,Cruzeiro,1996,{'2023': ['Brasil2023SerieA']}
Lucas Mugni,ARG,"MF,FW",Bahia,1992,{'2023': ['Brasil2023SerieA']}
Murillo,BRA,DF,Corinthians,2002,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Premier League'], '2024-2025': ['Premier League']}"
Andrey Ramos do Nascimento,BRA,MF,Coritiba,1998,{'2023': ['Brasil2023SerieA']}
Bruno Nascimento,BRA,"FW,MF",Cruzeiro,1997,{'2023': ['Brasil2023SerieA']}
Matheus Nascimento,BRA,"FW,MF",Botafogo (RJ),2004,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Nata,BRA,"FW,DF",Grêmio,2001,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Natan,BRA,DF,Red Bull Bragantino,2001,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['La Liga']}"
Natanael,BRA,DF,Coritiba,2002,{'2023': ['Brasil2023SerieA']}
Nathan,BRA,DF,Santos,2001,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Primeira Liga'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Nathan,BRA,"MF,FW",Grêmio,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Rafael Navarro,BRA,FW,Palmeiras,2000,{'2023': ['Brasil2023SerieA']}
Kaiky Naves,BRA,"DF,FW",Palmeiras,2002,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Felipe Negrucci,BRA,MF,São Paulo,2004,{'2023': ['Brasil2023SerieA']}
Emerson Negueba,BRA,FW,Cuiabá,2000,{'2023': ['Brasil2023SerieA']}
Neris,BRA,DF,Cruzeiro,1992,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Rodrigo Nestor,BRA,"MF,FW",São Paulo,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
João Neto,BRA,"MF,DF",Fluminense,2003,{'2023': ['Brasil2023SerieA']}
Gabriel Neves,URU,MF,São Paulo,1997,{'2023': ['Brasil2023SerieA']}
Newton,BRA,MF,Botafogo (RJ),2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Nicolas,BRA,DF,América (MG),1997,{'2023': ['Brasil2023SerieA']}
Nikão,BRA,"FW,MF",Cruzeiro,1992,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Nino,BRA,DF,Fluminense,1997,{'2023': ['Brasil2023SerieA']}
Freddy Noguera,PAR,FW,Grêmio,2004,{'2023': ['Brasil2023SerieA']}
Gabriel Novaes,BRA,FW,Goiás,1999,{'2023': ['Brasil2023SerieA']}
Ruan Oliveira Ferreira,BRA,"MF,FW",Corinthians,2000,{'2023': ['Brasil2023SerieA']}
Lucas Oliveira,BRA,DF,Cruzeiro,1996,{'2023': ['Brasil2023SerieA']}
Luca Orellano,ARG,"FW,MF",Vasco da Gama,2000,{'2023': ['Brasil2023SerieA']}
Leo Ortiz,BRA,DF,Red Bull Bragantino,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Otávio,BRA,MF,Atlético Mineiro,1994,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
João Othavio Basso,BRA,DF,Santos,1997,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Primeira Liga']}"
Luis Oyama,BRA,MF,Goiás,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Pablinho,BRA,FW,Cuiabá,2003,{'2023': ['Brasil2023SerieA']}
Pablo,BRA,FW,Ath Paranaense,1992,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Pablo,BRA,DF,Flamengo,1991,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Bruno Pacheco,BRA,DF,Fortaleza,1991,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Julián Palacios,ARG,"FW,MF",Goiás,1999,{'2023': ['Brasil2023SerieA']}
Nino Paraíba,BRA,DF,América (MG),1986,{'2023': ['Brasil2023SerieA']}
Mateus Pasinato,BRA,GK,América (MG),1992,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Weslley Patati,BRA,"FW,MF",Santos,2003,"{'2023': ['Brasil2023SerieA'], '2024-2025': ['Europa League']}"
Alexandre Pato,BRA,"FW,MF",São Paulo,1989,{'2023': ['Brasil2023SerieA']}
Patrick,BRA,"MF,FW",Atlético Mineiro,1992,{'2023': ['Brasil2023SerieA']}
Alan Patrick,BRA,"MF,FW",Internacional,1991,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Luan Patrick,BRA,DF,Red Bull Bragantino,2002,{'2023': ['Brasil2023SerieA']}
Patryck,BRA,DF,São Paulo,2003,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Giuliano de Paula,BRA,"MF,FW",Corinthians,1990,{'2023': ['Brasil2023SerieA']}
Jair Paula,BRA,DF,Santos,2005,{'2023': ['Brasil2023SerieA']}
Paulinho,BRA,DF,América (MG),2004,{'2023': ['Brasil2023SerieA']}
Paulinho,BRA,MF,Vasco da Gama,1997,{'2023': ['Brasil2023SerieA']}
Paulinho,BRA,"MF,FW",Corinthians,1988,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Caio Paulista,BRA,DF,São Paulo,1998,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Wellington Paulista,BRA,FW,América (MG),1984,{'2023': ['Brasil2023SerieA']}
João Paulo,BRA,GK,Santos,1995,{'2023': ['Brasil2023SerieA']}
Marcos Paulo,BRA,"FW,MF",São Paulo,2001,{'2023': ['Brasil2023SerieA']}
Cristian Pavón,ARG,"FW,MF",Atlético Mineiro,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Pedrinho,BRA,"FW,MF",América (MG),1999,{'2023': ['Brasil2023SerieA']}
Pedrinho,BRA,"DF,MF",Ath Paranaense,2002,"{'2023': ['Brasil2023SerieA'], '2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Pedrinho,BRA,FW,Flamengo,2003,{'2023': ['Brasil2023SerieA']}
Pedro,BRA,FW,Flamengo,1997,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024'], 'WC 2022': ['WC 2022']}"
João Pedro,BRA,FW,Cruzeiro,2003,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
João Pedro,BRA,DF,Grêmio,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
João Pedro Pepê,BRA,MF,Grêmio,1998,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Jean Pedroso,BRA,DF,Coritiba,2004,{'2023': ['Brasil2023SerieA']}
Matheus Peixoto,BRA,FW,Goiás,1995,{'2023': ['Brasil2023SerieA']}
Léo Pelé,BRA,DF,Vasco da Gama,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Carlos de Pena,URU,"MF,FW",Internacional,1992,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Léo Pereira,BRA,DF,Flamengo,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Matheus Pereira,BRA,"FW,MF",Cruzeiro,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Bruno Peres,BRA,"DF,MF",Ath Paranaense,1990,{'2023': ['Brasil2023SerieA']}
Lucas Perri,BRA,GK,Botafogo (RJ),1997,"{'2023': ['Brasil2023SerieA'], '2024-2025': ['Europa League', 'Ligue 1']}"
Lucas Piazon,BRA,FW,Botafogo (RJ),1994,"{'2023': ['Brasil2023SerieA'], '2024-2025': ['Primeira Liga']}"
Yago Pikachu,BRA,"FW,MF",Fortaleza,1992,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Joaquín Piquerez,URU,DF,Palmeiras,1998,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Gabriel Pirani,BRA,"MF,FW",Fluminense,2002,{'2023': ['Brasil2023SerieA']}
Rafael Pires,BRA,GK,São Paulo,1989,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Lucas Piton,BRA,DF,Vasco da Gama,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Isidro Pitta,PAR,FW,Cuiabá,1999,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Tomas Pochettino,ARG,"MF,FW",Fortaleza,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Luan Polli,BRA,GK,Coritiba,1993,{'2023': ['Brasil2023SerieA']}
Wesley Pombo,BRA,MF,Coritiba,2002,{'2023': ['Brasil2023SerieA']}
Mateo Ponte,URU,DF,Botafogo (RJ),2003,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
William Pottker,BRA,"FW,MF",Coritiba,1993,{'2023': ['Brasil2023SerieA']}
Bruno Praxedes,BRA,MF,Vasco da Gama,2002,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Erick Pulgar,CHI,MF,Flamengo,1994,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Nicolás Quagliata,URU,"FW,MF",Cuiabá,1999,{'2023': ['Brasil2023SerieA']}
Du Queiroz,BRA,"MF,DF",Corinthians,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Yani Quintero,COL,MF,Red Bull Bragantino,2002,{'2023': ['Brasil2023SerieA']}
Igor Rabello,BRA,DF,Atlético Mineiro,1995,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Rafael,BRA,DF,Botafogo (RJ),1990,{'2023': ['Brasil2023SerieA']}
Zé Rafael,BRA,MF,Palmeiras,1993,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Rafinha,BRA,DF,São Paulo,1985,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Rai,BRA,MF,Botafogo (RJ),2002,{'2023': ['Brasil2023SerieA']}
Eric Ramires,BRA,MF,Red Bull Bragantino,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Lucas Ramos,BRA,FW,Internacional,2001,{'2023': ['Brasil2023SerieA']}
Raí Ramos,BRA,DF,São Paulo,1994,{'2023': ['Brasil2023SerieA']}
Marcelo Rangel,BRA,GK,Goiás,1988,{'2023': ['Brasil2023SerieA']}
Pedro Rangel,BRA,GK,Fluminense,2000,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Raniele,BRA,"MF,DF",Cuiabá,1996,"{'2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
