Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Mandela Keita,BEL,"MF,DF",Antwerp,22-176,2002,2.6,5,1.89,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gyrano Kerk,SUR,"FW,MF",Antwerp,28-336,1995,9.0,22,2.45,18,0,1,3,0,0,1,0.11,1,0,0,0,0,0
Anan Khalaili,ISR,"DF,FW",Union SG,20-060,2004,2.8,10,3.61,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Bilal El Khannouss,MAR,MF,Genk,20-176,2004,0.8,1,1.32,0,1,0,0,0,0,1,1.32,0,1,0,0,0,0
Leo Kokubo,JPN,GK,Sint-Truiden,23-284,2001,9.0,1,0.11,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Mory Konaté,GUI,MF,Mechelen,30-353,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mohamed Koné,CIV,GK,Charleroi,22-240,2002,11.0,1,0.09,1,0,0,0,0,0,1,0.09,1,0,0,0,0,0
Josué Kongolo,BEL,DF,Genk,18-203,2006,0.8,2,2.43,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Tolis Konstantopoulos,GRE,DF,Beerschot,22-092,2002,8.7,4,0.52,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ayouba Kosiah,LBR,"FW,DF",Beerschot,23-103,2001,2.3,2,0.96,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
